title;description;company;job-type;application-url;post-date;expiry-date;location
Postdoctoral Researcher - Synthetic Biology (m, f, d);At Technische Universität Darmstadt, Germany within the Self-Organizing Systems Lab the following position is available Postdoctoral Researcher - Synthetic Biology (m,f,d) Full-time, initially limited to 2 years Activities and responsibilities We are looking for an outstanding individual to drive a visionary synthetic biology project poised to make an impact in oncology. With its emphasis on well-characterized and standardized parts, synthetic biology is considered the engineering approach to building molecular systems. It enables the creation of entirely new molecular functionality in a modular and systematic fashion. The project aims to design intelligent therapeutic gene circuits that can detect and regulate pathophysiological expression of non-coding RNA in tumor cells in a precise and reliable manner. Computational experts in the hosting lab will support the design of those circuits through data analysis, mathematical modeling and machine learning. The project is a joint venture cooperation between TU Darmstadt and Belgian Biotech Studio, eureKASYNBIO (part of the investment company eureKARE) with its special focus on synthetic biology. The selected candidate will be employed by the joint venture and will be located at TU Darmstadt for an initial period of two years. The candidate is given the opportunity to take a leading role in the formation of the envisioned startup company. Qualification profile Ph.D. in cell biology, molecular biology, biochemistry, biotechnology or related field Experience in common molecular and cellular biology techniques (especially cloning, mammalian cell culture), ideally with focus on oncology or synthetic biology Motivated team player with an entrepreneurial mindset We offer Inspiring international and interdisciplinary working environment Excellent lab facilities, network of clinical partners Attractive training programmes for employees of the TU Darmstadt;Technische Universität Darmstadt;PostDoc;"https://www.google.com/search?q=job+offers+synthetic+biology&oq=job+offers+synthetic+biology&ibp=htl;jobs&sa=X#htivrt=jobs&htidocid=DtT59YC71GcAAAAAAAAAAA%3D%3D&fpstate=tldetail";2022-10-12;2022-10-26;Frankfurt am Main
Postdoc in Engineered Living Materials / Synthetic Biology;Postdoctoral Researcher: Two positions in Engineered living materialsThe University of Freiburg (Germany), Department of Synthetic Biology (Prof. Wilfried Weber) is looking for 2 Postdoctoral Researchers (m, f, d)Full-time position, earliest starting date: 01.01.2023Within an interdisciplinary project with groups from materials and data sciences, innovative and sustainable bio-based materials are developed. The materials are based on waste products from agricultural and forest industry and are assembled and modified by engineered living cells using optogenetics / synthetic biology strategies. In the project, automation and artificial intelligence is used to guide the development of materials with desired properties. Position 1: You will be in charge of the development of engineered strains to reach this aim. You will design proteins and strains that influence the properties of the living material in order to meet desired specifications. You have a university degree in biology biotechnology or a comparable subject and a completed PhD. You should have extensive experience in the following areas:· Handling and engineering of B. subtilis and/or S. cerevisiae. · Synthetic biology and protein engineering· Proficient skills in spoken and written EnglishIn addition, experience in the following areas would be desirable: Optogenetics, Artificial Intelligence, Basic knowledge in materials sciencesPosition 2:You will develop (automated) processes for the production of the materials and will evaluate the materials and optimize the processes in close collaboration with our partners in biomechanics and data sciences.You have a university degree in biotechnology, process engineering, chemistry or a comparable subject and a completed PhD. You should have extensive experience in the following areas:· Synthesis of bio-based materials· Development of automated production processes· Synthetic biology/BiotechnologyIn addition, experience in the following areas would be desirable: Working with Bacillus subtilis and Saccharomyces cerevisiae, Optogenetics, Artificial Intelligence, BiomechanicsWe are looking forward to applications from highly motivated candidates who are interested in working in an interdisciplinary environment.We welcome your application (including CV, publication list and 2-3 contact details for references) as a single PDF file to Prof. Wilfried Weber: wilfried.weber@cibss.uni-freiburg.deWe are looking forward to your application;University of Freiburg (Uni Freiburg);PostDoc;"https://www.google.com/search?q=job+offers+synthetic+biology&oq=job+offers+synthetic+biology&ibp=htl;jobs&sa=X#htivrt=jobs&htidocid=xa9Bcudq-PUAAAAAAAAAAA%3D%3D&fpstate=tldetail";2022-10-07;2022-10-26;Freiburg im Breisgau
Senior Regional Marketing Manager, Synthetic Biology, CRISPR, and PCR – EMEA;"IDT is the leading manufacturer of custom oligonucleotides and proprietary technologies for genomics applications. Our work is complex and cutting-edge, and our team members are curious, creative thinkers who understand that good data drives smart decisions. At IDT, we realize that although science may be uniform, people are unique. We promote a culture where engaged people are motivated and have opportunities to achieve their full potential, as part of one global team.

IDT is proud to work alongside a community of nine fellow Danaher Life Sciences companies. Together, we’re pioneering the future of science and medicine, developing products that enable researchers in the fight to save lives.

As a Senior Regional Marketing Manager for IDT’s global marketing organization, you are responsible for understanding IDT market segments, customer workflows and customer needs across the assigned region and use this knowledge to develop and execute regionalized marketing campaigns and product launches that drive IDT awareness and revenue.

Essential Functions

• Possess a strong understanding of synthetic biology, CRISPR, and PCR customer workflows and customer needs across the assigned region through direct customer contact, primary and secondary research.

• Work with IDT Product Marketing and Product Management, as well as with global Sales and Commercial Marketing Managers, to develop accurate marketing personas, effective regional-specific customer segmentation strategies, insightful buyer journeys, and useful value propositions and key messages.

• Convert this customer and market insight into regional marketing strategies that drive successful lead generation and product launch campaigns.

• Collaborate with localization vendors, content writers, branding and public relations, collateral design, and search engine optimization experts to ensure that regional campaign tactics match market segment needs.

• Partner with commercial marketing, digital marketing, marketing automation, and web development experts to ensure that marketing campaigns are executed well and in a timely fashion.

• Work with IDT leadership to support joint regional business activities and partnerships with key customers and industry groups across the Americas.

• Monitor the success of regional marketing campaigns by using advanced digital tagging and metrics to ensure that key performance indicators are met, and campaigns demonstrate a positive return on investment.

Job Qualifications

• Bachelors (4-year) degree required.

• MBA preferred.

• 7+ years demonstrated prior success in genomics-related commercial marketing roles required.

• Synthetic Biology and CRISPR marketing experience strongly preferred.

• Must live in assigned region.

• Strong results-focused mentality.

• Strong communication and presentation skills required, with the ability to multitask and prioritize large projects.

• Superb negotiation and influencing skills a must.

• Statistical analysis very helpful.

• Strong analytical and troubleshooting skills required.

• Strong people management skills required; with proven ability to influence, work, collaborate, and communicate with regional Sales teams.

What do we offer

An upbeat, open minded, international and dynamic environment is where we wish to welcome you. A close follow up and extensive training is how we wish to guide you. As a growing international company, we reward our associates with an attractive compensation and benefits package of which the details are outlined below.

• Competitive salary

• Contract of indefinite duration

• Group insurance (including pension plan, guaranteed income …)

• Bonus system

• Annual leave Geography conform

Interested? Well, there is more! To realize IDT’s potential, we invest in your potential. Opportunities will cross your path, enabling you to develop your career the way you want it. All this within a cheerful and highly modern setting.

When you join us, you’ll also be joining Danaher’s global organization, where 80,000 people wake up every day determined to help our customers win. As an associate, you’ll try new things, work hard, and advance your skills with guidance from dedicated leaders, all with the support of powerful Danaher Business System tools and the stability of a tested organization.

At Danaher, we value diversity and the existence of similarities and differences, both visible and not, found in our workforce, workplace and throughout the markets we serve. Our associates, customers and shareholders contribute unique and different perspectives as a result of these diverse attributes.

If you’ve ever wondered what’s within you, there’s no better time to find out";Integrated DNA Technologies;;"https://www.google.com/search?q=job+offers+synthetic+biology&oq=job+offers+synthetic+biology&ibp=htl;jobs&sa=X#htivrt=jobs&htidocid=UvPFdQHuUIEAAAAAAAAAAA%3D%3D&fpstate=tldetail";2022-10-12;2022-10-26;Düsseldorf
Scientific or technical assistant (f/div/m) in Synthetic Biology or...;The Leibniz Institute for Natural Product Research and Infection Biology - Hans Knöll Institute - (Leibniz-HKI, www.leibniz-hki.de/en/) investigates the pathobiology of human-pathogenic fungi and identifies targets for the development of novel natural product-based antibiotics. Talented and highly qualified candidates are invited to apply for a position in the Department Bio Pilot Plant as a Scientific or technical assistant (f/div/m) in Synthetic Biology or Biotechnology for one year initially. Research Areas: Molecular Biology, Biochemistry, Biotechnology, Dictyostelium discoideum This project is part of a Federal Ministry for Education and Research (BMBF) funded research project which aims to develop the social amoeba Dictyostelium discoideum into a production platform for secondary metabolites of pharmaceutical importance. The field of study: The successful candidate will assist in the construction of multi-gene expression plasmids and the establishment of CRISPR/Cas tools for strain engineering of the social amoeba Dictyostelium discoideum and will help to develop methods to measure and enhance the production of heterologous secondary metabolites. The main topics of the project may include: Metabolic engineering of D. discoideum to enhance the production of biochemical precursors for polyketide production High-throughput cultivations, automated screening and processing of production strains of D. discoideum Required Qualifications: A bachelor or master degree in molecular biology, biochemistry, microbiology, biotechnology or related discipline. Candidates about to obtain their degree are welcome to apply. A basic experimental background in molecular cloning and microbiology. The candidate should be highly interested in applied, translational research and able to work in an international, interdisciplinary research team. We offer: The successful candidate will be part of the ProDICAN research project led by Prof. Dr. Falk Hillmann. The aim of the group is to conduct innovative, cutting-edge research on amoebae as a new host organism for the production of plant-derived natural products. The Leibniz-HKI is embedded in the outstanding scientific environment of the Beutenberg Campus providing state-of-the-art research facilities and a highly integrative network of life science groups. We offer a multifaceted scientific project with excellent technical facilities, a place in a dynamic, committed team, as well as strong scientific collaborations. Salary is paid according to German TV-L (salary agreement for public service employees). As an equal opportunity employer, the Leibniz-HKI is committed to increasing the percentage of female scientists and therefore especially encourages them to apply;Leibniz Institute for Natural Product Research and Infection Biology e. V.;;"https://www.google.com/search?q=job+offers+synthetic+biology&oq=job+offers+synthetic+biology&ibp=htl;jobs&sa=X#htivrt=jobs&htidocid=scZpR98-wI4AAAAAAAAAAA%3D%3D&fpstate=tldetail";2022-10-12;2022-10-26;Gotha
Scientific or technical assistant / (f/div/m) in Synthetic Biology or...;"Job Advertisement Leibniz-HKI-41/2022

The Leibniz Institute for Natural Product Research and Infection Biology – Hans Knöll Institute – (Leibniz-HKI, www.leibniz-hki.de) investigates the pathobiology of human-pathogenic fungi and identifies targets for the development of novel natural product-based antibiotics. Talented and highly qualified candidates are invited to apply for a position in the Department Bio Pilot Plant as a

Scientific or technial assistant / (f/div/m) in Synthetic Biology or Biotechnology

for one year initially.

Research Areas: Molecular Biology, Biochemistry, Biotechnology, Dictyostelium discoideum

This project is part of a Federal Ministry for Education and Research (BMBF) funded research project which aims to develop the social amoeba Dictyostelium discoideum into a production platform for secondary metabolites of pharmaceutical importance..

The field of study:

The successful candidate will assist in the construction of multi-gene expression plasmids and the establishment of CRISPR/Cas tools for strain engineering of the social amoeba Dictyostelium discoideum and will help to develop methods to measure and enhance the production of heterologous secondary metabolites.

The main topics of the project may include:
• Metabolic engineering of D. discoideum to enhance the production of biochemical precursors for polyketide production
• High-throughput cultivations, automated screening and processing of production strains of D. discoideum

Required Qualifications:
• A bachelor or master degree in molecular biology, biochemistry, microbiology, biotechnology or related discipline. Candidates about to obtain their degree are welcome to apply.
• A basic experimental background in molecular cloning and microbiology.
• The candidate should be highly interested in applied, translational research and able to work in an international, interdisciplinary research team.

We offer:

The successful candidate will be part of the ProDICAN research project led by Prof. Dr. Falk Hillmann. The aim of the group is to conduct innovative, cutting-edge research on amoebae as a new host organism for the production of plant-derived natural products. The Leibniz-HKI is embedded in the outstanding scientific environment of the Beutenberg Campus providing state-of-the-art research facilities and a highly integrative network of life science groups. We offer a multifaceted scientific project with excellent technical facilities, a place in a dynamic, committed team, as well as strong scientific collaborations.

Salary is paid according to German TV-L (salary agreement for public service employees). As an equal opportunity employer, the Leibniz-HKI is committed to increasing the percentage of female scientists and therefore especially encourages them to apply.

For further information:

Prof. Dr. Falk Hillmann | +49 3641 532 1445 | career@leibniz-hki.de

Dr. Johann E. Kufs | +49 3641 532 1732 | career@leibniz-hki.de

Applications:

Complete applications in German or English should include a cover letter, a CV, a brief statement of research experiences, and should be submitted via the Leibniz-HKI online application system. The deadline for the advertisement is October 15, 2022, but applications will be reviewed on a rolling basis";Leibniz HKI Jobportal;;"https://www.google.com/search?q=job+offers+synthetic+biology&oq=job+offers+synthetic+biology&ibp=htl;jobs&sa=X#htivrt=jobs&htidocid=O0_0bLVOXCsAAAAAAAAAAA%3D%3D&fpstate=tldetail";2022-10-12;2022-10-26;Jena
Senior Account Manager - Synthetic Biology - DACH Region;"Senior Account Manager - DACH

Hartmann Young are currently partnered with a rapidly growing biotech who are utilising their state of the art technology, combining stem cell and synthetic biology for the reprogramming of human cells. The business is looking for an experienced Account Manager who has a background in cell product sales into academia, biotech and pharma to drive the direct selling of their iPSC derived products.

Responsibilities include:
• Work alongside the Regional Manager to implement sales strategy
• Convert leads to sales by prospecting using Global Data, Sales Navigator within given territory
• Ownership of the complete sales process for iPSC derived cell products in the assigned region
• Utilise digital conference facilities as well as delivering product offering presentations in person in conferences
• Establishing cell supply partnerships for up to 100 million to 1 billion cells or more.
• Create new and build on existing relationships and document meetings using sales force CRM
• Work closely with the Marketing Department, feeding back the voice of the customer and developing a strategy which supports this

Skills/ Requirements Include:
• BSc in Cell or Molecular Biology essential
• MSc/ PhD preferred
• 5 years technical sales experience in selling cell based products
• Technical scientific background and understanding of iPSC and the techniques used to differentiate these into human cell types
• Experience in selling into Biotech, Pharma, CRO's and academic institutions within similar product lines
• Success in sales planning and strategy implementation
• Experience with Sales Force database or equivalent CRM to manage the sales process
• Ability to work closely with marketing and sales as well as with highly technical scientific customers
• Hunter mentality to drive and build a new territory to achieve sales objectives

For more details on this opportunity please contact me directly - raj.tamana@hartmannyoung.com";Hartmann Young;;"https://www.google.com/search?q=job+offers+synthetic+biology&oq=job+offers+synthetic+biology&ibp=htl;jobs&sa=X#htivrt=jobs&htidocid=j5k54Cgmww4AAAAAAAAAAA%3D%3D&fpstate=tldetail";2022-09-27;2022-10-26;Beliebiger Ort
Scientist Cell and Protein Engineering in Penzberg;"Scientist Cell and Protein Engineering
The Position

Scientist Cell & Protein Engineering (m/f/d)

In Roche's Pharmaceutical Research and Early Development organisation (pRED), we make transformative medicines for patients in order to tackle some of the world's toughest unmet healthcare needs. At pRED, we are united by our mission to transform science into medicines. Together, we create a culture defined by curiosity, responsibility and humility, where our talented people are empowered and inspired to bring forward extraordinary life-changing innovation at speed.

The position is located in Biological Core Technologies, a department within the Discovery of the pREDs Large Molecules Research, where the design, supply and development of next generation biologics is the primary focus. We closely collaborate with our therapeutic areas and functions to convert therapeutic hypotheses into innovative therapeutics.

Job mission

We are offering an outstanding opportunity for an experienced Scientist to work with a highly engaged team of cell biology, protein chemistry and molecular biology specialists using state-of-the art technologies. You will be responsible for the design and supply of next generation engineered cells and proteins in close collaboration with our internal and external partners.

Your impact

Supporting and developing advanced Cell Engineering and Synthetic Biology projects

Shaping and evolving our portfolio projects by designing, supplying and characterizing next generation antibody based therapeutics, bioconjugates and gene and cell therapies.

Nurturing trustful relationships and effective collaboration with internal and external partners.

Your profile

You thrive in and are dedicated to establishing a culture of mutual support, cross-training, continuous learning and self-organization to meet project and functional goals. You thrive in a dynamic, inclusive environment that gives you full accountability for your own contributions and development. You know how to prioritize, how to create clarity and focus.

Your 3 years+ experience in drug discovery, advanced cell- and protein engineering as well as state of the art biochemistry enables you to support our technology and portfolio projects. You have a keen interest in working with and developing IT systems. You are resourceful and flexible in problem solving and in working in a collaborative and inclusive manner with strong oral and written communication skills.

University degree in biochemistry, biology or similar area

including PhD or master degree and several years of

relevant professional experience

At least 3 years (PostDoc) experience in research (industry or university)

Specialist knowledge

Project management skills

Fluent English language skills

IT skills (MS Office, Geneious, MataVue , Spotfire)

Specific expertise in the field of Cell engineering, Synthetic Biology and Protein Engineering

Our commitment

Roche commits to recognizing talent and aptitude. We prioritize encouraging and supporting our employees in their personal journeys by providing a safe, creative space to help them reflect, make decisions and grow in their career.

We are confident that we find the most innovative solutions by gaining different perspectives, asking and answering hard questions, and challenging the status quo. Roche embraces diversity and equal opportunity in a serious yet enthusiastic way; we are devoted to building a team that represents a range of backgrounds, perspectives, and skills. The more inclusive we are, the better our work will be.

We look forward receiving your application!

Application documents

For your application, please keep it simple. We only ask you for an up-to-date CV, which includes your academic track record and a full publication and conference presentations list. You may also include a short motivation letter. All further documents will be handled at a later stage.

Your contact to us! With people. For people.

Do you need more support?

Our Talent Acquisition Team welcomes your questions. Please send an email to grenzach.germany_talent_acquisition(at)

Who we are

At Roche, more than 100,000 people across 100 countries are pushing back the frontiers of healthcare. Working together, we've become one of the world's leading research-focused healthcare groups. Our success is built on innovation, curiosity and diversity.

Roche at Penzberg, near Munich, employs more than 5,000 people. The site is one of the largest biotechnology centers in Europe and the only Roche site with research, development and production for both Pharmaceuticals and Diagnostics under one roof. From your beginning with Roche, our motivated team will welcome and support you. Numerous opportunities for personal development, flexible work hours, attractive compensation packages and special family assistance programs are available.

Roche is an Equal Opportunity Employer";Roche Diagnostics GmbH;;"https://www.google.com/search?q=job+offers+synthetic+biology&oq=job+offers+synthetic+biology&ibp=htl;jobs&sa=X#htivrt=jobs&htidocid=sP0YV0Zrk0wAAAAAAAAAAA%3D%3D&fpstate=tldetail";2022-10-10;2022-10-26;München
Group Leader – Structural or Molecular Systems Biology;"The Structural and Computational Biology (SCB) Unit at EMBL Heidelberg pursues an ambitious and cross-disciplinary research program in integrated structural and computational systems biology, bridging between temporal and spatial scales. The SCB Unit seeks to recruit a highly motivated group leader in the area of structural or molecular systems biology to address fundamental questions in life sciences.

Your role

Establish an independent and innovative research programme. The SCB Unit is interested in attracting candidates that pursue experimental or computational approaches, which can contribute to or interface with integrated structural biology. Research areas can be diverse including chemical biology, (high-throughput) biochemistry, biophysics, proteomics, metabolomics, synthetic biology, modelling and simulation of biological systems. The research should extend or enrich structural systems biology, a broad concept that the unit is pursuing, in conjunction with a strong computational biology programme.

In line with EMBL’s scientific programme from Molecules to Ecosystems, the SCB Unit is also interested in candidates that have research programs related to EMBL’s transversal themes; for example, the SCB Unit has already considerable strengths in Planetary Biology and Microbial Ecosystems. The future group leader will be embedded in the multidisciplinary and collaborative environment of EMBL, which provides many opportunities for interaction with other research groups.

You have

The ambition to work on fundamental biological questions, which implies both, biological discoveries or methodological advances. Furthermore, your research complements and synergizes with the activities of the SCB Unit and the whole of EMBL. You should therefore demonstrate a strong motivation to work in the collaborative and multidisciplinary environment of EMBL.

In addition, you should be dedicated to develop effective relationships and to provide leadership and guidance to team members. The ability to work independently and to participate in a collaborative team effort is desirable, as is a pro-active and positive problem-solving mind-set.

You might also have

EMBL’s new program, Molecules to Ecosystems, includes a vision to advance our understanding of ecosystems at the molecular level, applying expertise in molecular biology to study life in its natural context. New research areas will focus on applying experimental, computational and theoretical approaches to study at multiple levels (molecules, cells, tissues and populations) how organisms interact with each other and respond to environmental change. SCB will be happy to host structural or molecular systems biology activities related to the new transversal themes.

• Planetary Biology – aiming to understand how microbes, plants, and animals interact with each other and with their abiotic environments at the molecular level.

• Microbial Ecosystems – studying microorganisms, how they live in communities and interact with their environments, including host organisms.

• Infection Biology – unravelling new strategies to treat infections by studying pathogens, their molecular machineries, their interface with the host, and their ability to spread in populations and across hosts.

• Human Ecosystems – applying computational and experimental approaches to reveal the impact of the environment on human health and physiology, both at the individual and the population level.

• Theory – using modelling, mathematical reasoning, and conceptual approaches to study complex and dynamic biological systems.

• Why join us

EMBL appoints group leaders from early on in their career and provides a very supportive environment for your first independent position in order to achieve your research goals. The initial “Lead your Lab” management training is provided for all incoming group leaders.

The SCB Unit at EMBL offers access to an outstanding integrated structural biology environment that includes a particularly well equipped cryo-electron microscopy facility. The Unit also interacts closely with the EMBL Imaging Centre that offers access to a broad spectrum of electron and light microscopy technologies with special emphasis on correlative approaches. Further information about research in the SCB Unit and at EMBL can be found at the EMBL web page.

EMBL is curiosity-driven, community-oriented and international. As an inclusive, equal opportunity employer, we believe that diversity enables us to collaborate more effectively and be innovative in our approaches. We are, therefore, committed to creating an inclusive and flexible culture – one where everyone can realise their full potential and make a positive contribution to our organisation.

We encourage applications from individuals who can complement our existing team – we believe that success is built on having teams whose backgrounds and personal experiences reflect the diversity of the populations that our science serves. We actively encourage applications from all genders and cultures, ethnic groups and all demographics to help us avoid perpetuating biases and oversights at this transformational point in our people strategy.

EMBL offers attractive conditions and benefits appropriate to an international research organisation with a very collegial and family-friendly working environment. Competitive salary and social security benefits, financial support for relocation, a relaxed culture, professional development, an on-site nursery, canteen and other staff facilities make EMBL a great place to work.

What else you need to know

We are Europe’s flagship research laboratory for the life sciences – an intergovernmental organisation performing scientific research in disciplines including molecular biology, physics, chemistry and computer science. We are an international, innovative and interdisciplinary laboratory with more than 1800 employees from more than 80 countries, operating across six sites, in Heidelberg (HQ), Barcelona, Hinxton near Cambridge, Hamburg, Grenoble and Rome.

The working language of the institute is English.

In your online application, you will be asked to include a cover letter, your CV, the names and contact details of 3 referees and a concise description of research interests & future research plans, typically not exceeding five pages. Should you plan to submit your application close to the deadline, please inform your referees in advance so they can be ready to send their LOR preferably by the deadline of the call.

In addition, you will be asked to provide your potential interest in one (max two) transversal themes and are also invited to apply for multiple positions if relevant.

Before applying, please read full application instructions here .

Interviews are planned for 7 – 10 November 2022. Same interview conditions will be applied to all candidates, despite of the potential travel restrictions due to the Covid-19 situation.

Information on Group Leader appointments can be found here http://www.embl.org/gl_faq.

An initial contract of 5 years will be offered to the successful candidate. This is foreseen to be extended to a maximum of 9 years, subject to an external review.

Further information about the position can be obtained from the Head of Unit, Christoph Müller.

EMBL is a signatory of the San Francisco Declaration on Research Assessment (DORA). We support fair and responsible research assessment, which includes its recruitment and performance assessment processes. We recognize a range of research outputs, discourage inappropriate use of proxies such as journal impact factors, and value research outputs based on their intrinsic merit";EMBL;;"https://www.google.com/search?q=job+offers+synthetic+biology&oq=job+offers+synthetic+biology&ibp=htl;jobs&sa=X#htivrt=jobs&htidocid=88FJaaVb_ccAAAAAAAAAAA%3D%3D&fpstate=tldetail";2022-09-21;2022-10-26;Heidelberg
Cell-free reconstitution and optical control of proteins at lipid membranes;"The research group of Dr. Katja Zieske invites applications for a
PhD student (f/m/d) in Biophysics / Quantitative Biology
for the project
Cell-free reconstitution and optical control of proteins at lipid membranes

About us:
The Zieske group is an independent research group at the Max Planck Institute for the Science of Light. We are an interdisciplinary research team with projects in the area of biophysics, microfluidics and synthetic biology.
Currently, we are looking for a curious and highly motivated PhD student. The successful candidate will conduct an interdisciplinary research program to investigate and control the emergence of protein patterns. He/she will use lipid membrane systems and purified proteins for bottom-up reconstitution and systematic control of minimal protein systems.
PhD students in our team may leverage a diverse set of lipid model membranes, optical microscopy techniques and microfluidic technologies. PhD students will be given the opportunity to design and conduct experiments and to present research results at scientific meetings.
The project duration is 3 years.

Qualification of PhD candidate:
The successful candidate should hold a Master degree in experimental (Bio)physics, synthetic biology, life sciences, bioengineering or a related field. We are looking for a highly curious team member with a strong interest in interdisciplinary research between physics and synthetic biology. A strong interest in microscopy/optical techniques and microfluidic manipulation of biological objects and an ability to independently take responsibility over an own project is fundamental to this position. Experience in one or several of the following areas would be advantageous:

· Lipid model membranes
· Protein purification using a chromatography system
· Fluorescence microscopy quantitative image analysis and programming
· Single molecule studies with proteins
· Protein reconstitution

Interested in joining our team?
Send your application including letter of motivation, CV, summary of Master thesis project, transcript of records (Bachelor and Master studies), school leaving certificate and contact details of two academic references to katja.zieske@mpl.mpg.de
The Max Planck Society strives to ensure a workplace that embraces diversity and provides equal opportunities irrespective of gender, nationality or disabilities of the applicants. Furthermore, the Max Planck Society is committed to increasing the number of individuals with disabilities in its workforce and therefore encourages applications from such qualified individuals";Max Planck Institute for the Science of Light;;"https://www.google.com/search?q=job+offers+synthetic+biology&oq=job+offers+synthetic+biology&ibp=htl;jobs&sa=X#htivrt=jobs&htidocid=h-qOFhulfzkAAAAAAAAAAA%3D%3D&fpstate=tldetail";2022-09-21;2022-10-26;Erlangen
Molecular Biologists – Synthetic Biology, Biochnology (m/f/d);The Leibniz Institute for Natural Product Research and Infection Biology – Hans Knöll Institute – (Leibniz-HKI, ) investigates the pathobiology of human-pathogenic fungi and identifies targets for the development of novel natural product-based antibiotics. Talented and highly qualified candidates are invited to apply for a position in the Department Bio Pilot Plant as a Scientific or technical assistant (f/div/m) in Synthetic Biology or Biotechnology for one year initially. Research Areas: Molecular Biology, Biochemistry, Biotechnology, Dictyostelium discoideum This project is part of a Federal Ministry for Education and Research (BMBF) funded research project which aims to develop the social amoeba Dictyostelium discoideum into a production platform for secondary metabolites of pharmaceutical importance. The successful candidate will assist in the construction of multi-gene expression plasmids and the establishment of CRISPR/Cas tools for strain engineering of the social amoeba Dictyostelium discoideum and will help to develop methods to measure and enhance the production of heterologous secondary metabolites. The main topics of the project may include: Metabolic engineering of D. discoideum to enhance the production of biochemical precursors for polyketide production High-throughput cultivations, automated screening and processing of production strains of D. discoideum A bachelor or master degree in molecular biology, biochemistry, microbiology, biotechnology or related discipline. Candidates about to obtain their degree are welcome to apply. A basic experimental background in molecular cloning and microbiology. The candidate should be highly interested in applied, translational research and able to work in an international, interdisciplinary research team. The successful candidate will be part of the ProDICAN research project led by Prof. Dr. Falk Hillmann. The aim of the group is to conduct innovative, cutting-edge research on amoebae as a new host organism for the production of plant-derived natural products. The Leibniz-HKI is embedded in the outstanding scientific environment of the Beutenberg Campus providing state-of-the-art research facilities and a highly integrative network of life science groups. We offer a multifaceted scientific project with excellent technical facilities, a place in a dynamic, committed team, as well as strong scientific collaborations. Salary is paid according to German TV-L (salary agreement for public service employees). As an equal opportunity employer, the Leibniz-HKI is committed to increasing the percentage of female scientists and therefore especially encourages them to apply;Leibniz Institute for Natural Product Research and Infection Biology e. V.;;"https://www.google.com/search?q=job+offers+synthetic+biology&oq=job+offers+synthetic+biology&ibp=htl;jobs&sa=X#htivrt=jobs&htidocid=3J4bgfgbuS4AAAAAAAAAAA%3D%3D&fpstate=tldetail";2022-10-12;2022-10-26;Weimar
