title;description;company;job-type;application-url;expiry-date
Research Scientist Position Systems Biology-Gene Therapy (m/f/d);Who You Are:PhD, or equivalent degree, in molecular biology, synthetic biology, biomedicine, biochemistry, biotechnology with extensive expertise in enginee;Bayer AG;;"https://www.google.com/search?q=job+offers+synthetic+biology&oq=job+offers+synthetic+biology&ibp=htl;jobs&sa=X#htivrt=jobs&htidocid=oOc6ok0glb0AAAAAAAAAAA%3D%3D&fpstate=tldetail";2022-08-05
Research Scientist Position Systems Biology-Gene Therapy (m/f/d);"At Bayer we’re visionaries, driven to solve the world’s toughest challenges and striving for a world where ,Health for all, Hunger for none’ is no longer a dream, but a real possibility. We’re doing it with energy, curiosity and sheer dedication, always learning from unique perspectives of those around us, expanding our thinking, growing our capabilities and redefining ‘impossible’. There are so many reasons to join us. If you’re hungry to build a varied and meaningful career in a community of brilliant and diverse minds to make a real difference, there’s only one choice.
Research Scientist Position Systems Biology-Gene Therapy (m/f/d)

YOUR TASKS AND RESPONSIBILITIES
• Design and optimize in vitro and in vivo transgenes for gene therapy programs for efficacy, reduced off targets and immunogenicity (including promoters, miRNA, CDS, RNAi, CRISPR)
• Design, plan and accordingly conduct experiments to develop gene therapy-based therapeutics
• Contribute to delivering gene therapy clinical candidates
• Develop recombinant AAV therapeutics regardless of the therapeutic area by collaborating with the subject matter experts in Research, Translational, Clinical, and Regulatory organizations
• Contribute to technical discussions and investigations within the cross-disciplinary gene therapy project teams
• Present regular updates in internal meetings respecting timelines

WHO YOU ARE
• PhD, or equivalent degree, in molecular biology, synthetic biology, biomedicine, biochemistry, biotechnology with extensive expertise in engineering DNA/RNA (CRISPR, ZNF, miRNA, etc) editing tools for gene therapy or cell engineering applications
• Experience with recombinant AAV vectors and/or equivalent viral vector platforms is a plus
• Knowledge in molecular mechanisms of transcriptional regulation as well as a track record in molecular/synthetic biology preferably applied to gene therapy
• Experience with cellular molecular imaging, FACS sorting and other cell biology assays
• Experience with working in S2 coditions as well as openness to work with rodents when/if needed
• Programming and bioinformatics skills and hands-on experience with high-throughput data analysis: NGS and/or other omics data, is a plus
• Ability to simultaneously support multiple projects and work in a fast-paced environment
• Fluent in English, both written and spoken";Bayer AG;;"https://www.google.com/search?q=job+offers+synthetic+biology&oq=job+offers+synthetic+biology&ibp=htl;jobs&sa=X#htivrt=jobs&htidocid=l3YYRWQepO4AAAAAAAAAAA%3D%3D&fpstate=tldetail";2022-08-05
Senior Regional Marketing Manager, Synthetic Biology, CRISPR, and PCR - EMEA;"IDT is the leading manufacturer of custom oligonucleotides and proprietary technologies for genomics applications. Our work is complex and cutting-edge, and our team members are curious, creative thinkers who understand that good data drives smart decisions. At IDT, we realize that although science may be uniform, people are unique. We promote a culture where engaged people are motivated and have opportunities to achieve their full potential, as part of one global team.

IDT is proud to work alongside a community of nine fellow Danaher Life Sciences companies. Together, we’re pioneering the future of science and medicine, developing products that enable researchers in the fight to save lives.

As a Senior Regional Marketing Manager for IDT’s global marketing organization, you are responsible for understanding IDT market segments, customer workflows and customer needs across the assigned region and use this knowledge to develop and execute regionalized marketing campaigns and product launches that drive IDT awareness and revenue.

Essential Functions
• Possess a strong understanding of synthetic biology, CRISPR, and PCR customer workflows and customer needs across the assigned region through direct customer contact, primary and secondary research.
• Work with IDT Product Marketing and Product Management, as well as with global Sales and Commercial Marketing Managers, to develop accurate marketing personas, effective regional-specific customer segmentation strategies, insightful buyer journeys, and useful value propositions and key messages.
• Convert this customer and market insight into regional marketing strategies that drive successful lead generation and product launch campaigns.
• Collaborate with localization vendors, content writers, branding and public relations, collateral design, and search engine optimization experts to ensure that regional campaign tactics match market segment needs.
• Partner with commercial marketing, digital marketing, marketing automation, and web development experts to ensure that marketing campaigns are executed well and in a timely fashion.
• Work with IDT leadership to support joint regional business activities and partnerships with key customers and industry groups across the Americas.
• Monitor the success of regional marketing campaigns by using advanced digital tagging and metrics to ensure that key performance indicators are met, and campaigns demonstrate a positive return on investment.

Job Qualifications
• Bachelors (4-year) degree required.
• MBA preferred.
• 7+ years demonstrated prior success in genomics-related commercial marketing roles required.
• Synthetic Biology and CRISPR marketing experience strongly preferred.
• Must live in assigned region.
• Strong results-focused mentality.
• Strong communication and presentation skills required, with the ability to multitask and prioritize large projects.
• Superb negotiation and influencing skills a must.
• Statistical analysis very helpful.
• Strong analytical and troubleshooting skills required.
• Strong people management skills required; with proven ability to influence, work, collaborate, and communicate with regional Sales teams.

What do we offer

An upbeat, open minded, international and dynamic environment is where we wish to welcome you. A close follow up and extensive training is how we wish to guide you. As a growing international company, we reward our associates with an attractive compensation and benefits package of which the details are outlined below.
• Competitive salary
• Contract of indefinite duration
• Group insurance (including pension plan, guaranteed income …)
• Bonus system
• Annual leave Geography conform

Interested? Well, there is more! To realize IDT’s potential, we invest in your potential. Opportunities will cross your path, enabling you to develop your career the way you want it. All this within a cheerful and highly modern setting.

When you join us, you’ll also be joining Danaher’s global organization, where 80,000 people wake up every day determined to help our customers win. As an associate, you’ll try new things, work hard, and advance your skills with guidance from dedicated leaders, all with the support of powerful Danaher Business System tools and the stability of a tested organization.

At Danaher, we value diversity and the existence of similarities and differences, both visible and not, found in our workforce, workplace and throughout the markets we serve. Our associates, customers and shareholders contribute unique and different perspectives as a result of these diverse attributes.

If you’ve ever wondered what’s within you, there’s no better time to find out";Integrated DNA Technologies;;"https://www.google.com/search?q=job+offers+synthetic+biology&oq=job+offers+synthetic+biology&ibp=htl;jobs&sa=X#htivrt=jobs&htidocid=hMBD07WqIKsAAAAAAAAAAA%3D%3D&fpstate=tldetail";2022-08-05
Research Scientist Position Systems Biology-Gene Therapy (m/w/d);At Bayer we’re visionaries, driven to solve the world’s toughest challenges and striving for a world where ,Health for all, Hunger for none’ is no longer a dream, but a real possibility. We’re doing it with energy, curiosity and sheer dedication, always learning from unique perspectives of those around us, expanding our thinking, growing our capabilities and redefining ‘impossible’. There are so many reasons to join us. If you’re hungry to build a varied and meaningful career in a community of brilliant and diverse minds to make a real difference, there’s only one choice.Research Scientist Position Systems Biology-Gene Therapy (m/f/d)YOUR TASKS AND RESPONSIBILITIESDesign and optimize in vitro and in vivo transgenes for gene therapy programs for efficacy, reduced off targets and immunogenicity (including promoters, miRNA, CDS, RNAi, CRISPR)Design, plan and accordingly conduct experiments to develop gene therapy-based therapeuticsContribute to delivering gene therapy clinical candidatesDevelop recombinant AAV therapeutics regardless of the therapeutic area by collaborating with the subject matter experts in Research, Translational, Clinical, and Regulatory organizationsContribute to technical discussions and investigations within the cross-disciplinary gene therapy project teamsPresent regular updates in internal meetings respecting timelinesWHO YOU ARE PhD, or equivalent degree, in molecular biology, synthetic biology, biomedicine, biochemistry, biotechnology with extensive expertise in engineering DNA/RNA (CRISPR, ZNF, miRNA, etc) editing tools for gene therapy or cell engineering applicationsExperience with recombinant AAV vectors and/or equivalent viral vector platforms is a plusKnowledge in molecular mechanisms of transcriptional regulation as well as a track record in molecular/synthetic biology preferably applied to gene therapyExperience with cellular molecular imaging, FACS sorting and other cell biology assaysExperience with working in S2 coditions as well as openness to work with rodents when/if neededProgramming and bioinformatics skills and hands-on experience with high-throughput data analysis: NGS and/or other omics data, is a plusAbility to simultaneously support multiple projects and work in a fast-paced environmentFluent in English, both written and spoken;Bayer AG;;"https://www.google.com/search?q=job+offers+synthetic+biology&oq=job+offers+synthetic+biology&ibp=htl;jobs&sa=X#htivrt=jobs&htidocid=qD7Ls8zGDBcAAAAAAAAAAA%3D%3D&fpstate=tldetail";2022-08-05
Group Leader – Structural or Molecular Systems Biology;"The Structural and Computational Biology (SCB) Unit at EMBL Heidelberg pursues an ambitious and cross-disciplinary research program in integrated structural and computational systems biology, bridging between temporal and spatial scales. The SCB Unit seeks to recruit a highly motivated group leader in the area of structural or molecular systems biology to address fundamental questions in life sciences.

Your role

Establish an independent and innovative research programme. The SCB Unit is interested in attracting candidates that pursue experimental or computational approaches, which can contribute to or interface with integrated structural biology. Research areas can be diverse including chemical biology, (high-throughput) biochemistry, biophysics, proteomics, metabolomics, synthetic biology, modelling and simulation of biological systems. The research should extend or enrich structural systems biology, a broad concept that the unit is pursuing, in conjunction with a strong computational biology programme.

In line with EMBL’s scientific programme from Molecules to Ecosystems, the SCB Unit is also interested in candidates that have research programs related to EMBL’s transversal themes; for example, the SCB Unit has already considerable strengths in Planetary Biology and Microbial Ecosystems. The future group leader will be embedded in the multidisciplinary and collaborative environment of EMBL, which provides many opportunities for interaction with other research groups";EMBL;;"https://www.google.com/search?q=job+offers+synthetic+biology&oq=job+offers+synthetic+biology&ibp=htl;jobs&sa=X#htivrt=jobs&htidocid=A1KfLdsBLdIAAAAAAAAAAA%3D%3D&fpstate=tldetail";2022-08-05
12 PhD positions within the MSCA Doctoral Network “SYNSENSO”: Cell-free...;"The Doctoral Network SYNSENSO ""Cell-free synthetic biology for combinatorial biosensor design"", funded within the framework of the Marie Skłodowska-Curie Actions (MSCA), follows an interdisciplinary and cross-sectoral approach by bringing together academic and industrial experts from the fields of cell-free synthetic biology and molecular sensor design to develop novel combinatorial biosensors.

Five academic research groups and two industrial partners, coordinated by Technische Universität Darmstadt in Germany, join forces in SYNSENSO to create a mobility and training platform for young scientists by means of cross-site, interdisciplinary research projects. The PhD students will work on individual research projects in order to devise new logic circuits in cell-free systems, build novel responsive elements for analyte detection and integrate logic circuits with response elements to build and test next-generation, combinatorial biosensors. The specific research projects at the different groups are listed below. In addition to the host institutes (see below), the consortium also includes associated academic and industrial partners (Imperial College London (UK), Nuclera Nucleics Ltd. (UK), BioMerieux SA (France), LenioBio GmbH (Germany), BRAIN Biotech AG (Germany), Advance Biotech (Spain)), which are available for secondments and collaborations.

Aufgaben
Doctoral Projects:

DC1 - Cell-free RNA-based logic circuits, Host: Prof. Heinz Koeppl, Technische Universität Darmstadt, Germany

DC2 - Machine-learning based design and optimization of analyte-responsive ribozymes,

Host: Prof. Beatrix Suess, Technische Universität Darmstadt, Germany

DC3 - CRISPR-based RNA editing tools for cell-free biosensors, Host: Prof. Tom de Greef, Eindhoven University of Technology, Netherlands

DC4 -Modeling and simulation of cell-free synthetic circuits, Host: Prof. Tom de Greef, Eindhoven University of Technology, Netherlands

DC5 - Enhanced cell-free lysates with pre-expressed regulators, Host: Prof. Heinz Koeppl, Technische Universität Darmstadt, Germany

DC6 - Cell-free responsive elements and biosensors for DNA repair enzymes, Host: Prof. Francesco Ricci, Tor Vergata Universita degli Studi di Roma, Italy

DC7 - RNA-binding proteins for circuit design and detection of viral infection, Host: Dr. Velia Siciliano, Istituto Italiano di Technologia, Naples, Italy

DC8 - DNA/RNA responsive elements for cell-free biosensors, Host: Prof. Francesco Ricci, Tor Vergata Universita degli Studi di Roma, Italy

DC9 - Cell-free synthesis of RNA aptamers on a biochip, Host: Dr. Ralf Strasser, Dynamic Biosensors GmbH, Munich, Germany (PhD awarded from TU Darmstadt)

DC10 - Cell-free responsive elements for antibodies and proteins detection, Host: Dr. Bruna Marini, Ulisse Biomed GmbH, Udine, Italy (PhD awarded from Tor Vergata Universita degli Studi di Roma)

DC11 - Intein-based logic gates for multiplexed designs, Host: Prof. Karen Polizzi, Imperial College London, UK (will be funded through the UKRI Horizon Europe Guarantee Funding Scheme)

DC12 - Developing phosphorylation cascades in cell-free circuits, Host: Prof. Karen Polizzi, Imperial College London, UK (will be funded through the UKRI Horizon Europe Guarantee Funding Scheme)

Qualifikationsprofil
Candidate profile:
• MSc, MRes, MEng, or equivalent in Life Science (Biology, Biochemistry, Biophysics, etc), Bioengineering, Physics or a related discipline
• Wet-lab experience, in particular with genetic engineering or molecular biology
• Interested to work in the field of synthetic biology
• Appreciation for interdisciplinary work and proactive drive to collaborate across disciplines
• proficient in English language

Wir bieten
Enrolment, eligibility, salary:
• Applicants must have obtained their masters degree and must not have a doctoral degree at the date of their recruitment
• Applicants should not have been living in the country of the host institution for which they are applying for more than 12 months in the last 3 years (exception: refugee status). Applicants can be of any nationality.
• Subject to the successful signing of the EU Grant Agreement, SYNSENSO is planned to start with 01.09.2022 and the start of the individual doctoral project should be between 01.09.2022 and 31.03.2023 (for projects in Italy the project start will be until 01.11.2022)
• The successful candidate will receive a financial package including mobility and family allowance (if applicable), and will be employed according to the rules for Early Stage Researchers in an Marie Skłodowska-Curie Actions Doctoral Network (DN) and the general regulations of each host institution.
• The MSCA-DN will cover 3 years of full-time research. Final contract length and extension options depend on the host institution";Technische Universität Darmstadt;PhD;"https://www.google.com/search?q=job+offers+synthetic+biology&oq=job+offers+synthetic+biology&ibp=htl;jobs&sa=X#htivrt=jobs&htidocid=XKYkIk_5kqYAAAAAAAAAAA%3D%3D&fpstate=tldetail";2022-08-05
Senior Regional Marketing Manager Synthetic Biology CRISPR and PCR - EMEA;"Danaher Corporation Senior Regional Marketing Manager, Synthetic Biology, CRISPR, and PCR - EMEA in Duesseldorf , Germany

IDT is the leading manufacturer of custom oligonucleotides and proprietary technologies for genomics applications. Our work is complex and cutting-edge, and our team members are curious, creative thinkers who understand that good data drives smart decisions. At IDT, we realize that although science may be uniform, people are unique. We promote a culture where engaged people are motivated and have opportunities to achieve their full potential, as part of one global team.

IDT is proud to work alongside a community of nine fellow Danaher Life Sciences companies. Together, we’re pioneering the future of science and medicine, developing products that enable researchers in the fight to save lives.

As a Senior Regional Marketing Manager for IDT’s global marketing organization, you are responsible for understanding IDT market segments, customer workflows and customer needs across the assigned region and use this knowledge to develop and execute regionalized marketing campaigns and product launches that drive IDT awareness and revenue.

Essential Functions

Possess a strong understanding of synthetic biology, CRISPR, and PCR customer workflows and customer needs across the assigned region through direct customer contact, primary and secondary research.

Work with IDT Product Marketing and Product Management, as well as with global Sales and Commercial Marketing Managers, to develop accurate marketing personas, effective regional-specific customer segmentation strategies, insightful buyer journeys, and useful value propositions and key messages.

Convert this customer and market insight into regional marketing strategies that drive successful lead generation and product launch campaigns.

Collaborate with localization vendors, content writers, branding and public relations, collateral design, and search engine optimization experts to ensure that regional campaign tactics match market segment needs.

Partner with commercial marketing, digital marketing, marketing automation, and web development experts to ensure that marketing campaigns are executed well and in a timely fashion.

Work with IDT leadership to support joint regional business activities and partnerships with key customers and industry groups across the Americas.

Monitor the success of regional marketing campaigns by using advanced digital tagging and metrics to ensure that key performance indicators are met, and campaigns demonstrate a positive return on investment.

Job Qualifications

Bachelors (4-year) degree required.

MBA preferred.

7+ years demonstrated prior success in genomics-related commercial marketing roles required.

Synthetic Biology and CRISPR marketing experience strongly preferred.

Must live in assigned region.

Strong results-focused mentality.

Strong communication and presentation skills required, with the ability to multitask and prioritize large projects.

Superb negotiation and influencing skills a must.

Statistical analysis very helpful.

Strong analytical and troubleshooting skills required.

Strong people management skills required; with proven ability to influence, work, collaborate, and communicate with regional Sales teams.

What do we offer

An upbeat, open minded, international and dynamic environment is where we wish to welcome you. A close follow up and extensive training is how we wish to guide you. As a growing international company, we reward our associates with an attractive compensation and benefits package of which the details are outlined below.

Contract of indefinite duration

Group insurance (including pension plan, guaranteed income …)

Bonus system

Annual leave Geography conform

Interested? Well, there is more! To realize IDT’s potential, we invest in your potential. Opportunities will cross your path, enabling you to develop your career the way you want it. All this within a cheerful and highly modern setting.

When you join us, you’ll also be joining Danaher’s global organization, where 80,000 people wake up every day determined to help our customers win. As an associate, you’ll try new things, work hard, and advance your skills with guidance from dedicated leaders, all with the support of powerful Danaher Business System ({removed}/how-we-work/danaher-business-system) tools and the stability of a tested organization.At Danaher, we value diversity and the existence of similarities and differences, both visible and not, found in our workforce, workplace and throughout the markets we serve. Our associates, customers and shareholders contribute unique and different perspectives as a result of these diverse attributes.If you’ve ever wondered what’s within you, there’s no better time to find out";Danaher Corporation;;"https://www.google.com/search?q=job+offers+synthetic+biology&oq=job+offers+synthetic+biology&ibp=htl;jobs&sa=X#htivrt=jobs&htidocid=ggkqXkUq5Y8AAAAAAAAAAA%3D%3D&fpstate=tldetail";2022-08-05
PhD Biology, Biochemistry - New Synthetic Cell Composites, Immunotherapy (m/f/d);"The INM - Leibniz Institute for New Materials in Saarbrücken, Germany, is an internationally leading center for materials research, with a particular focus on biomaterials and biointerfaces, and their exploitation for medical applications. We are seeking PhD students with a background in biology, biochemistry, biophysics, chemistry or physics to enroll in the Leibniz ScienceCampus Living Therapeutic Materials (https://www.lsclifemat.de/) and work on the development of advanced synthetic cell systems for applications at the intersection of cancer immunotherapy and immunoregulatory materials.

INM’s research group Immuno-Materials investigates how microscale cell-like materials can be formed such that they combine multiple life-like functionalities and can be integrated into living systems. For this we apply organoid cultures, bottom-up synthetic biology and microfluidics to reconstitute immunoregulatory processes for therapeutic applications. In the new project ART-TIME (ARTificial Tumor Immune Microenvironments), we invite applications for a

PHD STUDENT (M/F/D)

on development of new synthetic cell composites for immunotherapy

starting on November 1st 2022 (with some flexibility).

Your tasks
• Design, construct and characterize synthetic cell models with immunological properties.
• Investigate immunoregulatory interactions between synthetic cells, cancer cells and immune cells.
• Develop new strategies for the culture of tumor organoids for immunotherapeutic purposes.
• Investigate the activation of primary human immune cells by synthetic cell materials.

Your profile
• Master’s degree in biology, biochemistry, biophysics, chemistry, physics, or a related field.
• Interest and possibly experience in biohybrid materials, synthetic biology or organoid culture.
• Previous experience with advanced light microscopy imaging, electron microscopy, transcriptome profiling and other characterization techniques is beneficial.
• Very good communication and writing skills and thorough command of the English language. German language skills are beneficial but no required.

You will work…
• on scientifically interesting and technically relevant challenges in a motivated research group that collaborates with leading researchers and institutions,
• in an institute that supports you to perform high-quality research and to present and publish your research results,
• in an interdisciplinary and international institute with excellent infrastructure,
• at the heart of the Greater Region (Germany, France, Luxemburg, Belgium";INM - Leibniz-Institute for New Materials gGmbH;PhD;"https://www.google.com/search?q=job+offers+synthetic+biology&oq=job+offers+synthetic+biology&ibp=htl;jobs&sa=X#htivrt=jobs&htidocid=sqF6Nc9YmbAAAAAAAAAAAA%3D%3D&fpstate=tldetail";2022-08-05
12 PhD positions;"12 PhD positions within the MSCA Doctoral Network “SYNSENSO”: Cell-free synthetic biology for combinatorial biosensor design The Doctoral Network SYNSENSO “Cell-free synthetic biology for combinatorial biosensor design”, funded within the framework of the Marie Skłodowska-Curie Actions (MSCA), follows an interdisciplinary and cross-sectoral approach by bringing together academic and industrial experts from the fields of cell-free synthetic biology and molecular sensor design to develop novel combinatorial biosensors. Five academic research groups and two industrial partners, coordinated by Technische Universität Darmstadt in Germany, join forces in SYNSENSO to create a mobility and training platform for young scientists by means of cross-site, interdisciplinary research projects. The PhD students will work on individual research projects in order to devise new logic circuits in cell-free systems, build novel responsive elements for analyte detection and integrate logic circuits with response elements to build and test next-generation, combinatorial biosensors. The specific research projects at the different groups are listed below. In addition to the host institutes (see below), the consortium also includes associated academic and industrial partners (Imperial College London (UK), Nuclera Nucleics Ltd. (UK), BioMerieux SA (France), LenioBio GmbH (Germany), BRAIN Biotech AG (Germany), Advance Biotech (Spain)), which are available for secondments and collaborations. Candidate profile: MSc, MRes, MEng, or equivalent in Life Science (Biology, Biochemistry, Biophysics, etc), Bioengineering, Physics or a related discipline Wet-lab experience, in particular with genetic engineering or molecular biology – Interested to work in the field of synthetic biology Appreciation for interdisciplinary work and proactive drive to collaborate across disciplines proficient in English language
Enrolment, eligibility, salary: Applicants must have obtained their masters degree and must not have a doctoral degree at the date of their recruitment - Applicants should not have been living in the country of the host institution for which they are applying for more than 12 months in the last 3 years (exception: refugee status). Applicants can be of any nationality. Subject to the successful signing of the EU Grant Agreement, SYNSENSO is planned to start with 01.09.2022 and the start of the individual doctoral project should be between 01.09.2022 and 31.03.2023. The successful candidate will receive a financial package including mobility and family allowance (if applicable), and will be employed according to the rules for Early Stage Researchers in an Marie Skłodowska-Curie Actions Doctoral Network (DN) and the general regulations of each host institution. The MSCA-DN will cover 3 years of full-time research. Final contract length and extension options depend on the host institution.
Application: Applications should include a motivation letter, CV, copy of transcripts and of obtained degree and contact details of 2 references. Applicants should provide a ranked list of projects they are most interested to work on. – Please send your application via email: synsenso@bcs.tu-darmstadt.de

Application deadline: 21.07.2022. Doctoral Projects: DC1 – Cell-free RNA-based logic circuits, Host: Prof. Heinz Koeppl, Technische Universität Darmstadt, Germany DC2 – Machine-learning based design and optimization of analyte-responsive ribozymes, Host: Prof. Beatrix Suess, Technische Universität Darmstadt, Germany DC3 – CRISPR-based RNA editing tools for cell-free biosensors, Host: Prof. Tom de Greef, Eindhoven University of Technology, Netherlands DC4 -Modeling and simulation of cell-free synthetic circuits, Host: Prof. Tom de Greef, Eindhoven University of Technology, Netherlands DC5 – Enhanced cell-free lysates with pre-expressed regulators, Host: Prof. Heinz Koeppl, Technische Universität Darmstadt, Germany DC6 – Cell-free responsive elements and biosensors for DNA repair enzymes, Host: Prof. Francesco Ricci, Tor Vergata Universita degli Studi di Roma, Italy DC7 – RNA-binding proteins for circuit design and detection of viral infection, Host: Dr. Velia Siciliano, Istituto Italiano di Technologia, Naples, Italy DC8 – DNA/RNA responsive elements for cell-free biosensors, Host: Prof. Francesco Ricci, Tor Vergata Universita degli Studi di Roma, Italy DC9 – Cell-free synthesis of RNA aptamers on a biochip, Host: Dr. Ralf Strasser, Dynamic Biosensors GmbH, Munich, Germany (PhD awarded from TU Darmstadt) DC10 – Cell-free responsive elements for antibodies and proteins detection, Host: Dr. Bruna Marini, Ulisse Biomed GmbH, Udine, Italy (PhD awarded from Tor Vergata Universita degli Studi di Roma) DC11 – Intein-based logic gates for multiplexed designs, Host: Prof. Karen Polizzi, Imperial College London, UK (will be funded through the UKRI Horizon Europe Guarantee Funding Scheme) DC12 – Developing phosphorylation cascades in cell-free circuits, Host: Prof. Karen Polizzi, Imperial College London, UK (will be funded through the UKRI Horizon Europe Guarantee Funding Scheme";Technische Universitaet Darmstadt;PhD;"https://www.google.com/search?q=job+offers+synthetic+biology&oq=job+offers+synthetic+biology&ibp=htl;jobs&sa=X#htivrt=jobs&htidocid=q3vnqEF6QGAAAAAAAAAAAA%3D%3D&fpstate=tldetail";2022-08-05
"12 Doctoral Candidate Positions for MSCA Doctoral Network ""Cell-free...";"Subject to the successful signing of the EU Grant Agreement, a call for 12 DC (Doctoral Candidate) positions is open within the context of the Doctoral Network (DN) project SYNSENSO.

The Doctoral Network SYNSENSO ""Cell-free synthetic biology for combinatorial biosensor design"", funded within the framework of the Marie Skłodowska-Curie Actions (MSCA), follows an interdisciplinary and cross-sectoral approach by bringing together academic and industrial experts from the fields of cell-free synthetic biology and molecular sensor design to develop novel combinatorial biosensors

Five academic research groups and two industrial partners, coordinated by Technische Universität Darmstadt in Germany, join forces in SYNSENSO to create a mobility and training platform for young scientists by means of cross-site, interdisciplinary research projects. The DCs will work on individual research projects in order to devise new logic circuits in cell-free systems, build novel responsive elements for analyte detection and integrate logic circuits with response elements to build and test next-generation, combinatorial biosensors.

The project offers the DCs research and training excellence in synthetic biology and biosensor design. The partners of SYNSENSO are leading research groups in synthetic biology and sensors design and their research institutes actively promote young researchers. The 5 academic research groups and 7 partners from the private sector join forces in SYNSENSO to create a platform of intersectoral and multidisciplinary mobility and training. To complement the academic and scientific goals of the DCs, the project offers customized research projects, structured interdisciplinary local and network-wide transferable skills training activities, and secondments at top-ranking European universities and industry partners";TU Darmstadt;;"https://www.google.com/search?q=job+offers+synthetic+biology&oq=job+offers+synthetic+biology&ibp=htl;jobs&sa=X#htivrt=jobs&htidocid=qvvZ60vaOtUAAAAAAAAAAA%3D%3D&fpstate=tldetail";2022-08-05
