title;description;company;job-type;application-url;post-date;expiry-date;location
Account Manager, Synthetic Biology - Germany;"The Account Manager, Synthetic Biology is responsible for delivering revenue and driving growth in their territory for Twist Bioscience gene synthesis products. The individual is accountable for delivering accurate revenue forecasts throughout the fiscal year, enabling the executive team to monitor business performance and drive decision making. The individual is required to maintain knowledge of competitor products and their commercial strategies, identifying and escalating their activities in a time bound manner. The individual is also accountable for providing customer feedback on Twist Bioscience products in addition to identifying unmet customer needs that will enable the development of new and innovative products.

What You'll Be Doing
• Attain quarterly and annual revenue targets established from annual commission plans.
• Deliver accurate and timely forecasts for their territory.
• Develop and manage key relationships with new and existing customers at multiple organizational levels.
• Develop contingency and risk mitigation plans for their region as necessary.
• Develop and execute supply agreements to support new and existing business.
• Work collaboratively with operations to minimize time to revenue.
• Maintain CRM database with up to date information
• Represent the company at relevant tradeshows.
• Maintain and raise awareness of the competitive landscape, provide customer feedback and introduce new product ideas to internal partners.
• Additional duties as assigned.
What You'll Bring to the Team:
• Proven track record of delivering financial targets on a quarterly and annual basis
• Bachelor's degree (B.A./B.S) from four year College or university preferred in Biology or similar field.
• At least 2-5 years of experience of selling life science reagents and solutions. Knowledge of synthetic biology products and markets preferred.
• Business to business experience preferred, in particular selling to pharma, chemical and/or Agbio organizations.
• Demonstrated technical knowledge of synthetic biology applications utilizing synthetic genes, pathways and organisms a necessity.
• A background in technical sales and support or product management is preferred.
• Salesforce experience required
• Demonstrated drive determination and self-motivation resulting in consistent achievement of financial results.
• Demonstrated scientific problem solving skills.
• Demonstrated technical depth in synthetic biology applications and workflows.
• Positive external and internal relationship management skills.
• Ability to participate with others as a member of the team to ensure that demanding and difficult projects are handled smoothly and cooperatively.
• Strong communication and presentation skills.
• Proven ability to thrive in a start-up/ change oriented environment.

About Twist Bioscience

Twist Bioscience synthesizes DNA from scratch, also known as “writing” DNA. Just as children learn to both read and write, the next phase of development for the genomics revolution is the ability to write DNA.

At Twist Bioscience, we work in service of people who are changing the world for the better. In fields such as health care, agriculture, industrial chemicals and data storage, our unique silicon-based DNA Synthesis Platform provides DNA synthesis precision at a scale that is otherwise unavailable to our customers.

Twist Bioscience Corporation is an Equal Opportunity Employer. Twist Bioscience Corporation provides equal employment opportunities to all employees and applicants for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, genetic characteristics, or any other category protected by law";Twist Bioscience;;"https://www.google.com/search?q=job+offers+synthetic+biology&oq=job+offers+synthetic+biology&ibp=htl;jobs&sa=X#htivrt=jobs&htidocid=GxDkQCCSk1kAAAAAAAAAAA%3D%3D&fpstate=tldetail";2022-12-08;2022-12-22;Beliebiger Ort
PhD and Postdoc Positions In Materials-directed Synthetic Biology.;"The Department of Synthetic Biology at the University of Freiburg (Research Group Prof. Wilfried Weber) is offering

PhD and Postdoc Positions

In Materials-directed Synthetic Biology.

By using versatile synthetic biology techniques including latest optogenetic approaches, you will develop cell biological and biochemical strategies to synthesize adaptive and interactive materials for different applications including biomedicine, construction, biosensing and bioremediation.

A special focus will be on optogenetic methods to structure material properties in four dimensions by using spatiotemporally controlled illumination as structuring principle.

In this position you will have the opportunity to acquire broad knowledge and experience in two rapidly emerging fields with a strong application potential, engineered living materials as well as molecular optogenetics. You will profit from the broad expertise of one of the leading labs in molecular optogenetics (https://www.optobase.org/fte/?q=*).

You will work in an international, interdisciplinary team using state-of-the-art research facilities. From previous lab members we have seen that experience in the above-mentioned field is a perfect starting point for pursuing an industrial or academic career afterwards.

We are looking for PhD and Postdoc candidates with a background in biochemistry (protein production, purification and modification) or microbial engineering (yeasts, gram-positive bacteria) in the direction of biotechnology.

We are looking forward to your application including CV and publication list. Please send the documents as one single PDF file to wilfried.weber@cibss.uni-freiburg.de

Further information on our research group can be found at: https://www.bioss.uni-freiburg.de/groups/synthetic-biology/intro";CIBSS - Centre for Integrative Biological Signalling Studies;PhD, PostDoc;"https://www.google.com/search?q=job+offers+synthetic+biology&oq=job+offers+synthetic+biology&ibp=htl;jobs&sa=X#htivrt=jobs&htidocid=umrBEXOl_pEAAAAAAAAAAA%3D%3D&fpstate=tldetail";2022-12-05;2022-12-22;Freiburg im Breisgau
Technical Assistant or Research Associate strain engineering / SynBio (m/f/d);"We are a team of scientists, engineers and business experts from diverse backgrounds brought together by a passion for creating sustainable products for forward-looking customers. We are now looking to hire a research associate or biological / chemical technical assistant (BTA / CTA) in the area of strain engineering and synthetic biology. The candidate will work closely with strain engineering scientists to set up and run protocols in molecular biology and protein biochemistry in a very interactive setting with colleagues in protein engineering, assay development, fermentation and downstream process development.

An ideal candidate for this position will perform the following duties:

● Perform hands-on research under the direction of a scientist.

● Conduct standard molecular biology techniques such as DNA amplification and purification, plasmid purification, cloning and sequence analysis.

● Construct microbial strains using standard molecular cloning techniques such as Gibson assembly, Golden Gate assembly or restriction-ligation cloning and strain recombineering and integration methods.

● Culture and evaluate constructed strains using small-scale (plate and flask-scale) cultivations and assays.

● Run spectrophotometric biochemical assays according to established protocols.

● Reliably document, store and clearly communicate data and results.

Qualifications/Experience:

● Completed vocational training for BTA/MTA or Bachelor’s degree in Molecular Biology, Biochemistry, Biotechnology or related field (no PhD).

● Experience in molecular biology and protein biochemistry, involving DNA manipulation and enzymatic assays.

● Proficiency in MS Office, experience with electronic laboratory notebook software is a plus.

● Proven critical thinking and problem-solving skills and ability to work flexibly in a dynamic startup setting.

● Strong willingness to learn novel cutting-edge methodologies

● Excellent interpersonal and communication skills in English (German skills are not necessary).

Powered by JazzHR";Insempra GmbH;;"https://www.google.com/search?q=job+offers+synthetic+biology&oq=job+offers+synthetic+biology&ibp=htl;jobs&sa=X#htivrt=jobs&htidocid=iCBuf-eJxpkAAAAAAAAAAA%3D%3D&fpstate=tldetail";2022-12-08;2022-12-22;Planegg
Full professorship (W3) for Molecular Cell Biology;"registration number: fb20-W3 for Molecular Cell Biology-2022

Entry date:

winter term 2023/2024

Application deadline:

2022-12-31

Salary:

W3 HBesG

Duration:

permanent

Volume of employment:

full-time

The Philipps University, founded in 1527, offers multiple award-winning teaching for around 22,000 students and tackles the important issues of our time with excellent research across a broad spectrum of science.

The Faculty of Medicine invites applications for a

Full professorship (W3) for Molecular Cell Biology

to be filled for winter term 2023/2024.

Tasks:

The professorship represents the subject of molecular cell biology in research and teaching in all courses of the Faculty of Medicine and will be head of the department of the Institute for Molecular Cell Biology at the interdisciplinary Center for Synthetic Microbiology (SYNMIKRO). In addition to the advertised W3 professorship, a cell-biologically oriented W2 professorship is part of the Institute.

The professorship is expected to play a central role in the main research areas of the Faculty of Medicine (infection/inflammation/immunity, tumor biology, neurosciences). The scientific focus of the professorship should be set on at least one of the following subject areas: intracellular transport/trafficking/endosomal sorting, cytoskeleton/mechanobiology, RNA biology and/or cellular metabolism. The research interest of the professorship should be disease-related and use suitable biological models including mammalian systems. The research activities should relate and interact with the research interests of research groups of SYNMIKRO and the Max Planck Institute for Terrestrial Microbiology and connect and support state of the art scientific methods in systems biology, synthetic biology and/or fluorescence or cryo-electron microscopy.

Profile:

We are looking for an internationally recognized research personality with an excellent publication record in the field of molecular cell biology. The appointed candidate is expected to actively contribute to existing collaborative research projects (SFB1021, SFB/TRR84, KFO325, KFO309, GRK2573, DZIF, DZL, LOEWE ""DRUID"", LOEWE ""Diffusible Signals"") and to play a leading role in setting up new research alliances. Experience in the successful acquisition of third-party funds is required.

The Universities of Gießen and Marburg have founded a research alliance with the Technische Hochschule Mittelhessen called, Forschungscampus Mittelhessen, a framework in which the two faculties of medicine practice structured cooperation in research and education. Applicants are expected to cooperate and work on joint projects across universities and departments.

The employment requirements of §§ 67 and 68 HessHG apply. Prerequisites for employment are a completed university degree, pedagogical aptitude, doctorate and additional academic achievements, which can be proven by a habilitation or equivalent achievements or as part of a junior professorship.

The University of Marburg attaches great importance to the intensive supervision of students and doctoral candidates and expects its lecturers to have a strong presence at the university, a high level of commitment in the field of academic teaching and intensive participation in the planned further development of medical education.

We support women and strongly encourage them to apply. In areas where women are underrepresented, female applicants will be preferred in case of equal qualifications. As a certified family-friendly university, we support our employees in balancing family and career. Applicants with a disability as discribed in SGB IX (§ 2 Abs. 2, 3) will be preferred in case of equal qualifications.

Please apply via the button below by December 31, 2022, enclosing the application form provided on the Internet (www.uni-marburg.de/de/fb20/fachbereich/services/formulare";Universität Marburg;;"https://www.google.com/search?q=job+offers+synthetic+biology&oq=job+offers+synthetic+biology&ibp=htl;jobs&sa=X#htivrt=jobs&htidocid=JmBEqOEq9pgAAAAAAAAAAA%3D%3D&fpstate=tldetail";2022-11-21;2022-12-22;Marburg
Scientific Editor, Molecular Systems Biology / EMBO Molecular Medicine;"About the team/job
EMBO stands for excellence in the life sciences. We support talented researchers at all stages of their careers in Europe and beyond, stimulate the exchange of scientific information, and help build a research environment where scientists can achieve their best work. EMBO Press encompasses four prestigious scientific research journals, The EMBO Journal, EMBO Reports, Molecular Systems Biology and EMBO Molecular Medicine, and runs a fifth, Life Science Alliance, in association with Rockefeller University Press and Cold Spring Harbor Laboratory Press.
Your role
EMBO is seeking a highly motivated scientist with broad and international high-level research experience for the role of scientific editor at EMBO Molecular Medicine and / or Molecular Systems Biology. The editor has a diverse set of responsibilities towards ensuring that Molecular Systems Biology and EMBO Molecular Medicine, as well as the other EMBO Press journals publish peer-reviewed material of the highest quality and broad general interest. The scientific editor reports to the deputy Head of Scientific Publications, EMBO Press.The successful candidate will be responsible for selecting research papers as well as commissioning reviews and commentaries in a number of subject areas for publication. The candidate will be expected to form extensive contacts to the scientific community and engage in regular travel to conferences and research institutions. The scientific editor will be involved in all publication activities at the EMBO Press journals as well as other EMBO activities.
Specific responsibilities

In the assigned subject areas, critical evaluation of submitted manuscripts, identification of suitable reviewers/advisors and the communication of appropriate editorial criteria and decisions;
Commissioning, peer review and developmental editing of high-level reviews, commentaries and ‘News & Views’ articles in the assigned subject areas;
The transfer of manuscripts that meet EMBO Press publication policies for editorial production;
Attendance of conferences and visits to research institutions to represent EMBO Molecular Medicine and / or Molecular Systems Biology, EMBO Press, as well as the other EMBO departments;

The delivery of talks related to scientific communication;
Involvement in publicity and social media activities in assigned subject areas.
Writing and editing of highlights, summaries and press releases in assigned subject areas;
Involvement in the strategic development of EMBO Press publishing initiatives;
Perform additional tasks as required by the Head of Scientific Publications or the EMBO Director.

This position will occasionally require working outside of the normal working hours, in the evenings or during the weekend during conferences or other events.
You have

Completed successful postdoctoral research projects, preferably in one or more of the following fields: aging, neuroscience, biomarkers and diagnostics, genomics, proteomics, computational biology, metabolic and regulatory networks, metabolomics,evolution, systems medicine and/or synthetic biology and biological engineering; other areas within the journals’ scope are also welcome;
Experience working in a fast-paced, highly collaborative, international academic environment;
Excellent written and verbal communication skills in English;
A decisive, judicious, detail-oriented, analytical and impartial mind;
Good organizational skills, multi-tasking, an ability to prioritise and to follow guidelines while working autonomously.

You might also have

Senior academic qualifications;
Editorial experience.

Why join us
The EMBO offices are located on the international EMBL life science research campus in Heidelberg, Germany. Heidelberg, home to around 150,000 people, is a lively university city. EMBO is an inclusive, equal opportunity employer offering attractive conditions and benefits appropriate to an international science organisation. The remuneration package comprises a competitive salary, pension scheme, medical, educational and other social benefits, as well as financial support for relocation and installation and family-related benefits where applicable.
As a non-profit organisation, we have an informal and collegial working environment that is inspired by our dedication to working for a common greater good. This position is mostly office-based, with flexible working options available.
What else you need to know
This is a fixed-term absence cover position.
Please supply the following documents with your application:

CV/Resumé;
A short cover letter outlining why you are attracted to the position and how your background and expertise would benefit the journal(s) and EMBO;
Bibliographic information";European Molecular Biology Organization (EMBO);;"https://www.google.com/search?q=job+offers+synthetic+biology&oq=job+offers+synthetic+biology&ibp=htl;jobs&sa=X#htivrt=jobs&htidocid=8f_IlMuJoKgAAAAAAAAAAA%3D%3D&fpstate=tldetail";2022-11-30;2022-12-22;Heidelberg
Synthetic Biology, Account Manager - Nordics;The Account Manager is responsible for delivering revenue and driving growth in their territory for Twist Bioscience gene synthesis products. The individual is accountable for delivering accurate revenue forecasts throughout the fiscal year, enabling the executive team to monitor business performance and drive decision making. The individual is required to maintain knowledge of competitor products and their commercial strategies, identifying and escalating their activities in a time bound manner. The individual is also accountable for providing customer feedback on Twist Bioscience products in addition to identifying unmet customer needs that will enable the development of new and innovative products.What you'll be doing: Job performance will involve a variety of activities including: Attain quarterly and annual revenue targets established from annual commission plans.Deliver accurate and timely forecasts for their territory.Develop and manage key relationships with new and existing customers at multiple organizational levels.Develop contingency and risk mitigation plans for their region as necessary.Develop and execute supply agreements to support new and existing business.Work collaboratively with operations to minimize time to revenue.Maintain CRM database with up to date informationRepresent the company at relevant tradeshows.Maintain and raise awareness of the competitive landscape, provide customer feedback and introduce new product ideas to internal partners.Additional duties as assigned. What you'll bring to the team: Proven track record of delivering financial targets on a quarterly and annual basisAt least 2-5 years of experience of selling life science reagents and solutions. Knowledge of synthetic biology products and markets preferred.Business to business experience preferred, in particular selling to pharma, chemical and/or Agbio organizations.Demonstrated technical knowledge of synthetic biology applications utilizing synthetic genes, pathways and organisms a necessity.A background in technical sales and support or product management is preferred.Salesforce experience required KEY ATTRIBUTES Demonstrated drive determination and self-motivation resulting in consistent achievement of financial results.Demonstrated scientific problem solving skills.Demonstrated technical depth in synthetic biology applications and workflows.Positive external and internal relationship management skills.Ability to participate with others as a member of the team to ensure that demanding and difficult projects are handled smoothly and cooperatively.Strong communication and presentation skills.Proven ability to thrive in a start-up/ change oriented environment. EDUCATION: Bachelor's degree (B.A./B.S) from four year College or university preferred in Biology or similar field;Twist Bioscience;;"https://www.google.com/search?q=job+offers+synthetic+biology&oq=job+offers+synthetic+biology&ibp=htl;jobs&sa=X#htivrt=jobs&htidocid=FfAfTYlA02IAAAAAAAAAAA%3D%3D&fpstate=tldetail";2022-12-08;2022-12-22;Bremen
International PhD Program in Microbiology | Fully Funded PhD Positions;"International PhD Program in MicrobiologyFully Funded PhD Positions We are excited to invite applicants with a strong interest for interdisciplinary research in modern microbiology to apply for fully funded PhD positions at the International Max Planck Research School Principles of Microbial Life.
Applicants should hold an MSc degree or equivalent in biology, biochemistry, genetics, molecular biology, microbiology, bioinformatics, chemistry, chemical biology, physics, biophysics, or another relevant field. The International Max Planck Research School Principles of Microbial Life is a joint initiative of the University of Marburg, the Max Planck Institute for Terrestrial Microbiology, and the Center for Synthetic Microbiology. More than 35 research groups participate in the program and cover research in Cellular organization and architecturePhysiology and metabolismMicrobial communities and interactionsHost-microbe interactions Signal transduction and information processingSystems and synthetic biology We offer: A research project in a vibrant, international research community Mentoring by world-class scientists through a thesis advisory committee Access to state-of-the-art research facilities Structured interdisciplinary training program which includes lectures, seminars, scientific and transferable skill workshops, attendance to retreats and conferences Salary based on the Collective Agreement for the Public Service in Germany (TVöD) which includes health and social insurance coverage Assistance service for international researchers Deadline for applying is January 31, 2023. Apply directly via the online application system. Accepted candidates can start their PhD projects already in summer of 2023. The PhD program starts in October 2023. For more information about the International Max Planck Research School Principles of Microbial Life, please visit our website. Contact:IMPRS Office Email: imprs@mpi-marburg.mpg.deWeb: http://www.imprs-marburg.deTwitter: @IMPRS_Mic Max Planck Institute for Terrestrial MicrobiologyKarl-von-Frisch-Straße 1035043 Marburg, GermanyPhone: +49 6421 178-905";"IMPRS ""Principles of Microbial Life: From molecules to cells, from cells to interactions""";PhD;"https://www.google.com/search?q=job+offers+synthetic+biology&oq=job+offers+synthetic+biology&ibp=htl;jobs&sa=X#htivrt=jobs&htidocid=wbXBgJPhbfIAAAAAAAAAAA%3D%3D&fpstate=tldetail";2022-12-02;2022-12-22;Marburg
Forschende:r Doktorand:in;"The Philipps University, founded in 1527, offers multiple award-winning teaching for around 22,000 students and tackles the important issues of our time with excellent research across a broad spectrum of science.

The newly founded Tree-M research cluster at the Philipps-Universität Marburg, the Justus-Liebig-Universität Gießen, and the Max-Planck Institute for terrestrial Microbiology now offers positions for talented and highly motivated doctoral students in cutting-edge research projects. The interdisciplinary research cluster, funded by the LOEWE excellence program of the State of Hesse, investigates the network of microbial interactions with the biotic and abiotic environment in the tree phyllosphere. Tree-M combines expertise of academic groups from the fields of microbiology, biochemistry, ecology, geography, and bioinformatics. Research activities involve experiments in the laboratory and field work, and bridge scales from individual bacterial cells (molecular mechanisms of bacterial enzymes, metabolic activities and their regulation) and microbial communities (interactions within the leaf microbiome) to cross-kingdom organismic interaction networks (microbiota-leaf-herbivore interactions).

Aufgabenbereiche
• performing groundbreaking research at the interface of microbiology and environmental sciences. Find short project descriptions on the Tree-M website
• applying cutting-edge technologies and methods such as remote sensing, high resolution hyperspectral and proximate sensing, (meta)genomics, (meta)proteomics, metabolite profiling, fluorescence and electron microscopy including super resolution methods, mass spectrometry imaging, structural molecular biology, molecular genetic engineering and synthetic biology, computational biology, machine learning and modeling

The position is limited to a time period deemed adequate for the completion of a doctoral degree. As part of the assigned duties, there will be ample opportunity to conduct independent scientific research necessary for the completion of a doctorate. The limitation complies to § 2, 1 WissZeitVG.

Qualifikationen
• MSc degree (or equivalent university degree) in microbiology, biochemistry, ecology, geography, bioinformatics or a related field
• strong interest in studying the dynamic composition and function of bacterial leaf microbiota and their (a)biotic interactions at multiple spatial and temporal scales
• being highly motivated, creative, and critical thinking
• enthusiastic about working in a multidisciplinary team
• having good communication skills and being fluent in English";Synmikro;;"https://www.google.com/search?q=job+offers+synthetic+biology&oq=job+offers+synthetic+biology&ibp=htl;jobs&sa=X#htivrt=jobs&htidocid=EgKbyL5Fo-QAAAAAAAAAAA%3D%3D&fpstate=tldetail";2022-11-14;2022-12-22;Marburg
CEO for Synthetic Biology / Biotechnology Startup;"SinFonia aims to produce novel bio-based fluorochemicals in a biological way that is significantly more sustainable than current chemical methods. SinFonia has developed a process to biomanufacture a diverse set of fluorinated molecules, and has filed two patents with a third on the way. Fluorinated organic molecules have the potential to create highly specialised biomaterials or replace current organic synthesis of fluorinated pharmaceuticals

The innovation potential of SinFonia is high, as it sets the stage for a societally sustainable value chain for the production of novel, bio-based fluoropolymers from renewable substrates. Materials containing the element fluorine are extremely important in our modern world, with applications in electronics, healthcare, automotive and wearables. Long term, Sinfonia strives to design cell factories for efficient synthesis of novel fluorinated products.

The CEO will be working closely with the inventors and board of SinFonia:
• Dr. Mariela Paula Mezzina, Chief Scientific Officer
• Dr. Pablo Ivan Nikel, co-inventor and advisor
• Dr. Patricia Valdayo, co-inventor and advisor

Recommended experiences for CEO:
• 2+ years of leadership running early-stage bioventures
• Technical and commercial understanding of synbio/biotech processes
• Experience in fundraising from institutional investors like private equity, venture capital, foundations, and grants
• Experience in launching and running multiple parallel projects
• Experienced in building market opportunities and working with C-Suite in biotech/synbio companies
• Experience putting together a pitch deck, framing a story and pitching to investors
• Preferably, but not must, hold a PhD in Biotechnology, Synthetic Biology, Nano Technology or Materials Engineering (or equivalent)

Responsibilities:
• Incorporate the company
• Manage overall operations, budgeting, and decisions of the organisation
• Lead the development and execution of the organisation's short and long-term strategy
• Appraise the value of the IP and formulate new product or services that tap into the invented technology
• Identify relevant customers and create a go-to-market strategy
• Initiate and manage partnerships and collaborations with relevant stakeholders or future customers
• Negotiate and execute patent and business agreements
• Raise pre-seed capital in the first 6-12 months, and apply to relevant incubators

Expectations

CEO must live in Copenhagen or be able to fly in once every two months

ValleyDAO focuses on Biotechnology, Synthetic Biology, Material Science, Food Tech, and Blockchain / Cryptocurrency. Their company has offices in Europe, United States, and Asia. They have a small team that's between 1-10 employees.

You can view their website at https://www.valleydao.bio";ValleyDAO;StartUp;"https://www.google.com/search?q=job+offers+synthetic+biology&oq=job+offers+synthetic+biology&ibp=htl;jobs&sa=X#htivrt=jobs&htidocid=tM_x3n8DowsAAAAAAAAAAA%3D%3D&fpstate=tldetail";2022-11-08;2022-12-22;Beliebiger Ort
Lab Scientist (mRNA/Plasmid Scientist) (m/f/d);"Responsibilities
• Work independently as a fully integrated member of a cross-functional, interdisciplinary, and international team
• Lead planning, design, execution of molecular biological experiments, strain engineering and process development
• Development, evaluation, and implementation of new or application and optimization of existing state-of-the-art process-relevant methods and molecular biological techniques
• Data analysis and data interpretation, presentation and reporting of results to international and interdisciplinary audience
• Follow, review, and share the latest project-related innovations and technology breakthroughs in academia and industry
• Contribute to collaborations with academic institutions

Requirements
• Ph.D. with experience in molecular biology, microbiology, biochemistry, and microbial expression systems with track record within the field of recombinant DNA expression technology, synthetic biology, and mRNA technology
• Hands on experience and expertise on molecular cloning, in vitro transcription, enzyme kinetics and analytical characterization of biomolecules, especially of plasmid DNA and mRNA
• Experienced in DNA sequence design, knowledge in cloning software (SnapGene, Vector NTI, ApE, etc.), expertise with modern molecular cloning techniques (Golden Gate, Gibson assembly)
• Experience with analysis of large data sets (like NGS) and programming skills (Python, R)
• Experienced with synthetic biology concepts and tools is a plus
• Passionate about biotechnology and synthetic biology
• ""Can Do and Will Do”-Attitude
• Transversal work and management
• Demonstrated ability/willingness to quickly learn and perform in new areas, implement new techniques and instrumentation
• Ability to plan and execute experiments independently
• Innovative mindset and entrepreneurial spirit
• Organized, rigorous and adaptative
• Project oriented, team spirit
• Excellent organizational skills. Elaborate, structured and accurate way of working
• Fluent in English, preferably good German skills

Our offer:
• We offer a permanent position within an international work environment with flat hierarchies and empowering leadership style, where you are encouraged to develop your talent and realize ideas and innovations within a competent team.
• As a globally successful and constantly growing company, Sanofi provides international career paths as well.
• An attractive, competitive salary aligned with your qualifications and including social benefits above average (e.g. company pension plans, health management).

#LI-GSA

At Sanofi diversity and inclusion is foundational to how we operate and embedded in our Core Values. We recognize to truly tap into the richness diversity brings we must lead with inclusion and have a workplace where those differences can thrive and be leveraged to empower the lives of our colleagues, patients and customers. We respect and celebrate the diversity of our people, their backgrounds and experiences and provide equal opportunity for all";Sanofi;;"https://www.google.com/search?q=job+offers+synthetic+biology&oq=job+offers+synthetic+biology&ibp=htl;jobs&sa=X#htivrt=jobs&htidocid=Sl6xB9Q2UtIAAAAAAAAAAA%3D%3D&fpstate=tldetail";2022-12-08;2022-12-22;Frankfurt am Main
